race_id,date,track,race_no,official_url,cache_html_path
20220128_kawasaki_3,2022-01-28,kawasaki,3,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F01%2F28&k_raceNo=3&k_babaCode=21,data/cache/html/20220128_kawasaki_3.html
20220128_kawasaki_4,2022-01-28,kawasaki,4,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F01%2F28&k_raceNo=4&k_babaCode=21,data/cache/html/20220128_kawasaki_4.html
20220128_kawasaki_5,2022-01-28,kawasaki,5,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F01%2F28&k_raceNo=5&k_babaCode=21,data/cache/html/20220128_kawasaki_5.html
20220128_kawasaki_6,2022-01-28,kawasaki,6,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F01%2F28&k_raceNo=6&k_babaCode=21,data/cache/html/20220128_kawasaki_6.html
20220128_kawasaki_7,2022-01-28,kawasaki,7,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F01%2F28&k_raceNo=7&k_babaCode=21,data/cache/html/20220128_kawasaki_7.html
20220128_kawasaki_8,2022-01-28,kawasaki,8,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F01%2F28&k_raceNo=8&k_babaCode=21,data/cache/html/20220128_kawasaki_8.html
20220128_kawasaki_9,2022-01-28,kawasaki,9,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F01%2F28&k_raceNo=9&k_babaCode=21,data/cache/html/20220128_kawasaki_9.html
20220128_kawasaki_10,2022-01-28,kawasaki,10,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F01%2F28&k_raceNo=10&k_babaCode=21,data/cache/html/20220128_kawasaki_10.html
20220128_kawasaki_11,2022-01-28,kawasaki,11,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F01%2F28&k_raceNo=11&k_babaCode=21,data/cache/html/20220128_kawasaki_11.html
20220128_kawasaki_12,2022-01-28,kawasaki,12,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F01%2F28&k_raceNo=12&k_babaCode=21,data/cache/html/20220128_kawasaki_12.html
20220127_kawasaki_1,2022-01-27,kawasaki,1,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F01%2F27&k_raceNo=1&k_babaCode=21,data/cache/html/20220127_kawasaki_1.html
20220127_kawasaki_2,2022-01-27,kawasaki,2,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F01%2F27&k_raceNo=2&k_babaCode=21,data/cache/html/20220127_kawasaki_2.html
20220127_kawasaki_3,2022-01-27,kawasaki,3,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F01%2F27&k_raceNo=3&k_babaCode=21,data/cache/html/20220127_kawasaki_3.html
20220127_kawasaki_4,2022-01-27,kawasaki,4,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F01%2F27&k_raceNo=4&k_babaCode=21,data/cache/html/20220127_kawasaki_4.html
20220127_kawasaki_5,2022-01-27,kawasaki,5,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F01%2F27&k_raceNo=5&k_babaCode=21,data/cache/html/20220127_kawasaki_5.html
20220127_kawasaki_6,2022-01-27,kawasaki,6,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F01%2F27&k_raceNo=6&k_babaCode=21,data/cache/html/20220127_kawasaki_6.html
20220127_kawasaki_7,2022-01-27,kawasaki,7,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F01%2F27&k_raceNo=7&k_babaCode=21,data/cache/html/20220127_kawasaki_7.html
20220127_kawasaki_8,2022-01-27,kawasaki,8,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F01%2F27&k_raceNo=8&k_babaCode=21,data/cache/html/20220127_kawasaki_8.html
20220127_kawasaki_9,2022-01-27,kawasaki,9,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F01%2F27&k_raceNo=9&k_babaCode=21,data/cache/html/20220127_kawasaki_9.html
20220127_kawasaki_10,2022-01-27,kawasaki,10,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F01%2F27&k_raceNo=10&k_babaCode=21,data/cache/html/20220127_kawasaki_10.html
20220127_kawasaki_11,2022-01-27,kawasaki,11,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F01%2F27&k_raceNo=11&k_babaCode=21,data/cache/html/20220127_kawasaki_11.html
20220127_kawasaki_12,2022-01-27,kawasaki,12,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F01%2F27&k_raceNo=12&k_babaCode=21,data/cache/html/20220127_kawasaki_12.html
20220126_kawasaki_1,2022-01-26,kawasaki,1,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F01%2F26&k_raceNo=1&k_babaCode=21,data/cache/html/20220126_kawasaki_1.html
20220126_kawasaki_2,2022-01-26,kawasaki,2,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F01%2F26&k_raceNo=2&k_babaCode=21,data/cache/html/20220126_kawasaki_2.html
20220126_kawasaki_3,2022-01-26,kawasaki,3,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F01%2F26&k_raceNo=3&k_babaCode=21,data/cache/html/20220126_kawasaki_3.html
20220126_kawasaki_4,2022-01-26,kawasaki,4,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F01%2F26&k_raceNo=4&k_babaCode=21,data/cache/html/20220126_kawasaki_4.html
20220126_kawasaki_5,2022-01-26,kawasaki,5,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F01%2F26&k_raceNo=5&k_babaCode=21,data/cache/html/20220126_kawasaki_5.html
20220126_kawasaki_6,2022-01-26,kawasaki,6,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F01%2F26&k_raceNo=6&k_babaCode=21,data/cache/html/20220126_kawasaki_6.html
20220126_kawasaki_7,2022-01-26,kawasaki,7,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F01%2F26&k_raceNo=7&k_babaCode=21,data/cache/html/20220126_kawasaki_7.html
20220126_kawasaki_8,2022-01-26,kawasaki,8,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F01%2F26&k_raceNo=8&k_babaCode=21,data/cache/html/20220126_kawasaki_8.html
20220126_kawasaki_9,2022-01-26,kawasaki,9,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F01%2F26&k_raceNo=9&k_babaCode=21,data/cache/html/20220126_kawasaki_9.html
20220126_kawasaki_10,2022-01-26,kawasaki,10,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F01%2F26&k_raceNo=10&k_babaCode=21,data/cache/html/20220126_kawasaki_10.html
20220126_kawasaki_11,2022-01-26,kawasaki,11,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F01%2F26&k_raceNo=11&k_babaCode=21,data/cache/html/20220126_kawasaki_11.html
20220126_kawasaki_12,2022-01-26,kawasaki,12,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F01%2F26&k_raceNo=12&k_babaCode=21,data/cache/html/20220126_kawasaki_12.html
20220125_kawasaki_1,2022-01-25,kawasaki,1,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F01%2F25&k_raceNo=1&k_babaCode=21,data/cache/html/20220125_kawasaki_1.html
20220125_kawasaki_2,2022-01-25,kawasaki,2,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F01%2F25&k_raceNo=2&k_babaCode=21,data/cache/html/20220125_kawasaki_2.html
20220125_kawasaki_3,2022-01-25,kawasaki,3,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F01%2F25&k_raceNo=3&k_babaCode=21,data/cache/html/20220125_kawasaki_3.html
20220125_kawasaki_4,2022-01-25,kawasaki,4,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F01%2F25&k_raceNo=4&k_babaCode=21,data/cache/html/20220125_kawasaki_4.html
20220125_kawasaki_5,2022-01-25,kawasaki,5,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F01%2F25&k_raceNo=5&k_babaCode=21,data/cache/html/20220125_kawasaki_5.html
20220125_kawasaki_6,2022-01-25,kawasaki,6,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F01%2F25&k_raceNo=6&k_babaCode=21,data/cache/html/20220125_kawasaki_6.html
20220125_kawasaki_7,2022-01-25,kawasaki,7,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F01%2F25&k_raceNo=7&k_babaCode=21,data/cache/html/20220125_kawasaki_7.html
20220125_kawasaki_8,2022-01-25,kawasaki,8,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F01%2F25&k_raceNo=8&k_babaCode=21,data/cache/html/20220125_kawasaki_8.html
20220125_kawasaki_9,2022-01-25,kawasaki,9,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F01%2F25&k_raceNo=9&k_babaCode=21,data/cache/html/20220125_kawasaki_9.html
20220125_kawasaki_10,2022-01-25,kawasaki,10,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F01%2F25&k_raceNo=10&k_babaCode=21,data/cache/html/20220125_kawasaki_10.html
20220125_kawasaki_11,2022-01-25,kawasaki,11,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F01%2F25&k_raceNo=11&k_babaCode=21,data/cache/html/20220125_kawasaki_11.html
20220125_kawasaki_12,2022-01-25,kawasaki,12,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F01%2F25&k_raceNo=12&k_babaCode=21,data/cache/html/20220125_kawasaki_12.html
20220124_kawasaki_1,2022-01-24,kawasaki,1,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F01%2F24&k_raceNo=1&k_babaCode=21,data/cache/html/20220124_kawasaki_1.html
20220124_kawasaki_2,2022-01-24,kawasaki,2,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F01%2F24&k_raceNo=2&k_babaCode=21,data/cache/html/20220124_kawasaki_2.html
20220124_kawasaki_3,2022-01-24,kawasaki,3,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F01%2F24&k_raceNo=3&k_babaCode=21,data/cache/html/20220124_kawasaki_3.html
20220124_kawasaki_4,2022-01-24,kawasaki,4,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F01%2F24&k_raceNo=4&k_babaCode=21,data/cache/html/20220124_kawasaki_4.html
